-- Logs begin at Thu 2016-10-27 16:09:44 UTC, end at Thu 2016-10-27 16:46:54 UTC. --
Oct 27 16:39:41 managesf systemd[1]: Started Zuul Server Service.
Oct 27 16:39:41 managesf systemd[1]: Starting Zuul Server Service...
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,285 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,286 INFO gear.Server: Received packet from <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>: <gear.Packet 0x234b850 type: GRAB_JOB_UNIQ>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,286 DEBUG gear.ServerConnection: Queuing packet to <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>: <gear.Packet 0x23c5290 type: NO_JOB>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,286 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,286 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,286 DEBUG gear.Server: Polling 2 connections
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,289 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,289 INFO gear.Server: Received packet from <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>: <gear.Packet 0x234b850 type: PRE_SLEEP>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,289 DEBUG gear.ServerConnection: Setting state to: SLEEP
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,289 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,289 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x234b810 name: Zuul Merger host: 192.168.122.10 port: 58120>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,289 DEBUG gear.Server: Polling 2 connections
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,726 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,726 INFO gear.Server: Received admin request <gear.AdminRequest 0x234b850 command: status>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,726 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: merger:merge        0        0        1
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,726 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: merger:update        0        0        1
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,727 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: .
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,727 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x234b850 command: status>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,727 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,727 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:42 managesf zuul-server[21429]: 2016-10-27 16:39:42,727 DEBUG gear.Server: Polling 2 connections
Oct 27 16:39:43 managesf zuul-server[21429]: 2016-10-27 16:39:43,727 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:43 managesf zuul-server[21429]: 2016-10-27 16:39:43,728 INFO gear.Server: Received admin request <gear.AdminRequest 0x234b850 command: status>
Oct 27 16:39:43 managesf zuul-server[21429]: 2016-10-27 16:39:43,728 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: merger:merge        0        0        1
Oct 27 16:39:43 managesf zuul-server[21429]: 2016-10-27 16:39:43,728 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: merger:update        0        0        1
Oct 27 16:39:43 managesf zuul-server[21429]: 2016-10-27 16:39:43,728 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: .
Oct 27 16:39:43 managesf zuul-server[21429]: 2016-10-27 16:39:43,728 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x234b850 command: status>
Oct 27 16:39:43 managesf zuul-server[21429]: 2016-10-27 16:39:43,728 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:43 managesf zuul-server[21429]: 2016-10-27 16:39:43,729 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:43 managesf zuul-server[21429]: 2016-10-27 16:39:43,729 DEBUG gear.Server: Polling 2 connections
Oct 27 16:39:44 managesf zuul-server[21429]: 2016-10-27 16:39:44,732 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:44 managesf zuul-server[21429]: 2016-10-27 16:39:44,734 INFO gear.Server: Received admin request <gear.AdminRequest 0x234b850 command: status>
Oct 27 16:39:44 managesf zuul-server[21429]: 2016-10-27 16:39:44,735 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: merger:merge        0        0        1
Oct 27 16:39:44 managesf zuul-server[21429]: 2016-10-27 16:39:44,735 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: merger:update        0        0        1
Oct 27 16:39:44 managesf zuul-server[21429]: 2016-10-27 16:39:44,735 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: .
Oct 27 16:39:44 managesf zuul-server[21429]: 2016-10-27 16:39:44,735 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x234b850 command: status>
Oct 27 16:39:44 managesf zuul-server[21429]: 2016-10-27 16:39:44,735 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:44 managesf zuul-server[21429]: 2016-10-27 16:39:44,735 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:44 managesf zuul-server[21429]: 2016-10-27 16:39:44,736 DEBUG gear.Server: Polling 2 connections
Oct 27 16:39:45 managesf zuul-server[21429]: 2016-10-27 16:39:45,741 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:45 managesf zuul-server[21429]: 2016-10-27 16:39:45,742 INFO gear.Server: Received admin request <gear.AdminRequest 0x234b850 command: status>
Oct 27 16:39:45 managesf zuul-server[21429]: 2016-10-27 16:39:45,742 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: merger:merge        0        0        1
Oct 27 16:39:45 managesf zuul-server[21429]: 2016-10-27 16:39:45,742 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: merger:update        0        0        1
Oct 27 16:39:45 managesf zuul-server[21429]: 2016-10-27 16:39:45,742 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: .
Oct 27 16:39:45 managesf zuul-server[21429]: 2016-10-27 16:39:45,743 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x234b850 command: status>
Oct 27 16:39:45 managesf zuul-server[21429]: 2016-10-27 16:39:45,743 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:45 managesf zuul-server[21429]: 2016-10-27 16:39:45,743 DEBUG gear.Server: Processing output on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:45 managesf zuul-server[21429]: 2016-10-27 16:39:45,743 DEBUG gear.Server: Polling 2 connections
Oct 27 16:39:46 managesf zuul-server[21429]: 2016-10-27 16:39:46,746 DEBUG gear.Server: Processing input on <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>
Oct 27 16:39:46 managesf zuul-server[21429]: 2016-10-27 16:39:46,746 INFO gear.Server: Received admin request <gear.AdminRequest 0x234b850 command: status>
Oct 27 16:39:46 managesf zuul-server[21429]: 2016-10-27 16:39:46,746 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: merger:merge        0        0        1
Oct 27 16:39:46 managesf zuul-server[21429]: 2016-10-27 16:39:46,747 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: merger:update        0        0        1
Oct 27 16:39:46 managesf zuul-server[21429]: 2016-10-27 16:39:46,747 DEBUG gear.ServerConnection: Queuing data to <gear.ServerConnection 0x23c5310 name: None host: 192.168.122.10 port: 58118>: .
Oct 27 16:39:46 managesf zuul-server[21429]: 2016-10-27 16:39:46,747 DEBUG gear.Server: Finished handling admin request <gear.AdminRequest 0x234b850 command: status>
